64,30,119
66,30,121
34,30,79
31,34,72
73,40,136
46,25,95
54,25,106
35,30,80
37,29,83
31,33,73
33,32,76
29,36,68
29,37,67
61,28,115
63,28,117
68,33,125
71,36,131
74,42,140
30,36,69
73,41,139
75,48,147
28,39,64
28,38,66
43,26,91
39,28,86
41,27,89
45,26,93
70,34,128
72,38,134
30,34,71
40,27,87
30,35,70
69,34,128
25,48,52
26,42,61
26,44,58
45,25,94
57,26,108
36,29,81
25,46,54
25,45,56
25,47,53
47,25,97
74,45,144
49,25,99
72,39,135
70,35,129
65,30,121
62,28,115
74,44,142
44,26,93
70,36,130
61,27,114
38,28,84
57,26,110
25,46,56
32,33,75
66,31,122
71,37,133
55,26,107
62,28,117
34,30,78
75,46,144
27,41,62
48,25,98
50,25,100
69,33,127
56,26,107
67,32,125
52,25,103
27,40,63
73,40,138
54,25,105
72,37,133
35,30,79
75,50,150
33,31,77
25,49,51
63,29,118
26,45,57
75,46,146
74,43,141
37,28,83
26,43,59
58,26,110
73,41,138
72,38,133
28,38,65
39,28,85
68,32,125
60,27,112
29,37,68
40,27,86
75,47,147
39,27,86
71,36,132
25,50,51
51,25,101
53,25,103
42,26,89
75,48,148
72,38,135
28,38,67
34,31,77
74,45,143
65,30,120
55,25,106
60,27,114
44,26,92
40,27,88
30,35,71
64,29,119
36,29,82
36,30,81
46,25,94
32,33,74
75,49,149
72,39,136
59,27,112
71,37,132
37,29,82
33,32,75
62,28,116
27,41,61
48,25,97
70,36,131
73,39,136
50,25,99
64,30,120
61,28,114
66,30,122
31,34,73
67,32,124
75,45,144
27,40,62
27,39,64
54,25,104
73,40,137
74,42,139
46,25,96
66,31,123
63,29,117
43,26,90
26,45,56
41,27,88
75,46,145
29,36,69
74,43,140
50,25,101
69,34,127
56,26,108
26,43,58
26,42,60
26,44,57
68,33,126
27,40,64
30,36,70
25,49,52
47,25,96
28,39,65
43,26,92
49,25,98
45,26,94
70,34,129
74,43,142
75,47,146
30,34,72
25,48,53
26,43,60
25,50,50
58,26,111
38,28,83
67,31,123
57,26,109
25,46,55
25,47,54
60,27,113
64,29,118
70,35,130
55,26,106
28,37,67
74,44,143
51,25,102
53,25,104
42,26,90
36,30,80
38,28,85
32,32,75
34,31,78
75,49,148
52,25,102
59,27,111
75,50,149
