25,54,144
32,67,126
74,55,56
32,68,125
29,64,131
39,72,115
37,71,117
28,61,136
75,55,56
44,74,108
60,73,87
56,74,93
72,63,67
73,60,62
59,73,89
48,75,102
30,65,130
65,70,80
68,67,75
75,50,50
30,66,129
25,55,144
25,54,146
25,53,147
74,56,57
70,64,69
33,68,124
52,75,98
67,68,75
70,65,70
62,72,83
57,74,91
30,64,131
36,70,120
25,52,148
25,51,149
27,60,136
38,72,116
63,72,83
41,73,111
73,60,64
66,70,79
26,58,140
26,57,141
25,50,150
75,51,51
26,55,143
26,56,142
75,53,54
62,72,85
72,61,65
34,69,123
34,70,122
27,60,138
35,70,120
43,74,109
50,75,99
28,62,135
71,64,69
42,74,111
69,66,73
27,59,139
27,61,136
54,75,95
55,74,93
46,75,105
72,62,66
61,72,85
47,75,103
64,70,81
75,54,54
50,75,101
32,67,125
40,73,113
51,75,98
66,69,78
36,71,119
64,71,82
39,72,114
60,73,86
55,75,94
45,74,106
74,57,58
75,54,56
65,70,79
68,67,74
30,66,128
25,54,145
52,75,97
73,59,62
37,71,118
29,64,132
30,64,130
57,74,90
25,52,147
38,72,115
66,70,78
73,60,63
75,52,52
29,63,133
26,58,139
74,57,60
48,75,103
25,50,149
68,68,75
63,71,83
75,53,53
31,67,127
67,68,76
70,65,71
45,75,106
57,74,92
72,61,64
71,63,67
34,70,121
27,60,137
38,72,117
49,75,102
43,74,108
73,61,64
31,66,128
74,58,61
28,62,134
71,64,68
28,63,133
53,75,97
27,59,138
26,56,143
58,74,90
70,66,72
46,75,104
72,62,65
28,61,135
44,74,107
64,70,80
56,74,92
35,70,121
43,74,110
50,75,100
59,73,88
37,72,117
40,73,112
30,65,129
66,69,77
36,71,118
25,53,146
74,55,57
46,75,106
72,62,67
25,51,148
60,73,88
47,75,104
36,70,119
75,54,55
26,57,140
40,73,114
51,75,99
75,50,51
73,59,61
74,56,58
70,64,70
33,69,123
33,68,125
62,72,84
29,63,132
34,69,122
45,74,107
74,57,59
41,73,112
26,57,142
67,69,77
63,71,82
75,51,52
61,73,86
42,74,110
69,66,72
54,75,94
26,55,144
49,75,101
75,52,53
31,66,127
69,67,73
74,58,60
28,62,133
53,75,96
58,74,89
70,66,71
64,71,81
54,75,96
71,63,68
55,74,94
61,72,86
39,73,114
